"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved"
"New","Woolworths Metro Cameron Avenue","1/6 Grazier Lane","Belconnen","14/09/2021 - Tuesday","10:20am","11:00am","Monitor",-35.2401725,149.0720813,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Abode Woden","10 Bowes Street","Phillip","14/09/2021 - Tuesday","12:00am","11:59pm","Monitor",-35.3433861,149.0860464,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Services Australia (Level 3 North Wing)","57 Athllon Drive","Greenway","14/09/2021 - Tuesday","8:30am","1:30pm","Casual",-35.421141,149.0654239,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Services Australia Building","57 Athllon Drive","Greenway","14/09/2021 - Tuesday","8:30am","1:30pm","Monitor",-35.421141,149.0653739,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Coles Amaroo","Horse Park Drive","Amaroo","14/09/2021 - Tuesday","3:00pm","3:50pm","Monitor",-35.1646128,149.1318066,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","ALDI Amaroo","12 Pioneer Street","Amaroo","14/09/2021 - Tuesday","3:15pm","4:00pm","Monitor",-35.1652442,149.132432,"",FALSE
"New","Coles Gungahlin","Gungahlin Place","Gungahlin","14/09/2021 - Tuesday","3:30pm","4:20pm","Monitor",-35.1862806,149.135992,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Chemist Warehouse Gungahlin","30 Hibberson Street","Gungahlin","14/09/2021 - Tuesday","3:50pm","4:30pm","Monitor",-35.1856574,149.1328737,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","ALDI Gungahlin","Hibberson Street","Gungahlin","14/09/2021 - Tuesday","3:50pm","4:35pm","Monitor",-35.1853494,149.1361628,"",FALSE
"New","ALDI Conder","9 Sidney Nolan Street","Conder","14/09/2021 - Tuesday","3:35pm","4:40pm","Casual",-35.4565418,149.093481,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Lanyon Pharmacy","Lanyon Marketplace, 4 Sidney Nolan Street","Conder","14/09/2021 - Tuesday","5:20pm","6:00pm","Monitor",-35.4574587,149.0925805,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Woolworths Conder","Lanyon Marketplace, 4 Sidney Nolan Street","Conder","14/09/2021 - Tuesday","4:15pm","5:00pm","Monitor",-35.457644,149.092561,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","BWS Conder","4 Sidney Nolan Drive","Conder","14/09/2021 - Tuesday","4:25pm","5:05pm","Monitor",-35.457682,149.0924747,"",FALSE
"","Kingslseys Chicken Erindale","5/20 Gartside Street","Wanniassa","13/09/2021 - Monday","6:10pm","7:00pm","Monitor",-35.4057929,149.0997253,"",FALSE
"","United Petroleum Kambah","150 O'Halloran Circuit","Kambah","13/09/2021 - Monday","1:30pm","2:30pm","Monitor",-35.3926772,149.0689465,"",FALSE
"","SupaBarn Express Watson","5 Watson Place","Watson","13/09/2021 - Monday","7:00pm","8:00pm","Monitor",-35.2388939,149.1535201,"",FALSE
"","Bus Route 42 Transport Canberra Code BUS710","Melba to Belconnen Interchange","Public Transport","13/09/2021 - Monday","7:19pm","7:32pm","Casual",NA,NA,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Bus Route 3 Transport Canberra Code BUS419","Belconnen Interchange to City Interchange","Public Transport","13/09/2021 - Monday","7:39pm","7:55pm","Casual",-35.2784467,149.1304294,"",FALSE
"","Light Rail Route 1 Transport Canberra Code LRV006","Alinga Street to Macarthur Avenue","Public Transport","13/09/2021 - Monday","8:00pm","8:04pm","Casual",-35.2782991,149.1284854,"",FALSE
"","Coles Belconnen","Westifield Belconnen, Benjamin Way","Belconnen","13/09/2021 - Monday","5:50pm","7:30pm","Casual",-35.237949,149.064837,"",FALSE
"","Birch Building #35 (Facilities Maintenance Workshop only), ANU","35 Science Road","Acton","13/09/2021 - Monday","7:50am","9:20am","Casual",NA,NA,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Birch Building #35 (Facilities Maintenance Workshop only), ANU","35 Science Road","Acton","13/09/2021 - Monday","10:30am","1:30pm","Casual",NA,NA,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Birch Building #35 (Facilities Maintenance Workshop only), ANU","35 Science Road","Acton","13/09/2021 - Monday","3:00pm","4:30pm","Casual",NA,NA,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Coles Express Manuka","Canberra Avenue and Flinders Way","Griffith","13/09/2021 - Monday","6:50am","7:30am","Monitor",-35.3200444,149.1344035,"",FALSE
"","Coles Manuka","Franklin Street and Flinders Way","Griffith","13/09/2021 - Monday","9:50am","9:55am","Monitor",-35.3210247,149.1343446,"",FALSE
"","Coles Express Manuka","Canberra Avenue and Flinders Way","Griffith","13/09/2021 - Monday","1:25pm","2:05pm","Monitor",-35.3200444,149.1343535,"",FALSE
"","BP Kingston","77 Canberra Avenue","Kingston","13/09/2021 - Monday","4:30pm","5:10pm","Monitor",-35.3199398,149.1389056,"",FALSE
"","Woolworths Erindale","50-68 Comrie Street","Wanniassa","13/09/2021 - Monday","2:10pm","3:00pm","Casual",-35.4035739,149.098752,"",FALSE
"","Computer Science and Information Technology Building #108 - Level 1 (Ground Floor) only","108 North Road","Acton","13/09/2021 - Monday","12:15pm","3:30pm","Casual",NA,NA,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","ALDI Gungahlin","Hibberson Street","Gungahlin","13/09/2021 - Monday","12:30pm","1:25pm","Casual",-35.1853494,149.1362378,"",FALSE
"","Coles Amaroo","Horse Park Drive","Amaroo","13/09/2021 - Monday","12:50pm","1:40pm","Monitor",-35.1646128,149.1318566,"",FALSE
"","Pacifik Halal Meats","54-56/141 Ernest Cavanagh Street","Gungahlin","13/09/2021 - Monday","12:30pm","1:15pm","Monitor",-35.1848047,149.136513,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","7-Eleven Kippax","88 Hardwick Crescent","Holt","13/09/2021 - Monday","11:00am","11:50am","Monitor",-35.2209147,149.0178943,"",FALSE
"","Charcoal Rooster","94 Lowanna Street","Braddon","13/09/2021 - Monday","9:00am","9:40am","Monitor",-35.2641258,149.1328287,"",FALSE
"","Bus Route 51 Transport Canberra Code BUS707","O'Connor to Dickson","Public Transport","13/09/2021 - Monday","12:44pm","1:02pm","Casual",-35.2809368,149.1301342,"",FALSE
"","Bus Route 51 Transport Canberra Code BUS499","City to O'Connor","Public Transport","13/09/2021 - Monday","2:34pm","2:40pm","Casual",-35.2809368,149.1300592,"",FALSE
"","Bus Route 51 Transport Canberra Code BUS641","O'Connor to Dickson","Public Transport","13/09/2021 - Monday","4:12pm","4:29pm","Casual",-35.2809368,149.1300342,"",FALSE
"","Bus Route 50 Transport Canberra Code BUS391","Dickson to Watson","Public Transport","13/09/2021 - Monday","8:38pm","8:43pm","Casual",-35.2809368,149.1299592,"",FALSE
"","Bus Route 9 Transport Canberra Code BUS391","Watson to Dickson Interchange","Public Transport","13/09/2021 - Monday","9:08pm","9:13pm","Casual",-35.250558,149.133789,"",FALSE
"","Bus Route 50 Transport Canberra Code BUS707","Dickson to O'Connor","Public Transport","13/09/2021 - Monday","9:16pm","9:23pm","Casual",-35.2809368,149.1299842,"",FALSE
"","Light Rail  Route 1 Transport Canberra Code LRV009","Dickson Interchange to Alinga Street","Public Transport","13/09/2021 - Monday","1:27pm","1:33pm","Casual",-35.250558,149.133739,"",FALSE
"","Light Rail  Route 1 Transport Canberra Code LRV014","Dickson Interchange to Ipima Street","Public Transport","13/09/2021 - Monday","4:54pm","4:57pm","Casual",-35.250558,149.133689,"",FALSE
"","Light Rail  Route 1 Transport Canberra Code LRV001","Ipima Street to Dickson Interchange","Public Transport","13/09/2021 - Monday","7:33pm","7:36pm","Casual",-35.266635,149.1348303,"",FALSE
"","Optimal Pharmacy Plus Jamison","Jamison Plaza, Bowman Street","Macqurie","13/09/2021 - Monday","12:10pm","1:10pm","Casual",-35.2527782,149.0717558,"",FALSE
"","Amcal+ Pharmacy Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","13/09/2021 - Monday","12:40pm","5:30pm","Casual",-35.2464419,149.0676469,"",FALSE
"","Tuggeranong Discount Drug Store","17 Anketell Street","Greenway","13/09/2021 - Monday","2:50pm","3:30pm","Monitor",-35.4168087,149.0679945,"",FALSE
"","Woolworths Conder","Lanyon Marketplace, 4 Sidney Nolan Street","Conder","13/09/2021 - Monday","6:00pm","6:50pm","Monitor",-35.457644,149.092486,"",FALSE
"","Popes Electrical and Data Supplies Phillip","50-52 Colbee Court","Phillip","13/09/2021 - Monday","8:00am","9:00am","Casual",-35.3528956,149.0873239,"",FALSE
"","IGA X-press East Row","22-58 East Row","Canberra City","13/09/2021 - Monday","7:00pm","8:00pm","Monitor",-35.2791945,149.1307187,"",FALSE
"","Coles Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","13/09/2021 - Monday","8:00pm","8:30pm","Casual",-35.2802271,149.1333309,"",FALSE
"","Coles Wanniassa","12 Sangster Place","Wanniassa","13/09/2021 - Monday","1:35pm","2:15pm","Casual",-35.3912889,149.0854472,"",FALSE
"","Donatello's","18 Sangster Place","Wanniassa","13/09/2021 - Monday","1:30pm","2:00pm","Monitor",-35.3908796,149.0855496,"",FALSE
"","ALDI Weston Creek","Brierly Street","Weston","13/09/2021 - Monday","2:50pm","4:00pm","Casual",-35.3414467,149.0525899,"",FALSE
"New","Woolworths Metro Cameron Avenue","1/6 Grazier Lane","Belconnen","13/09/2021 - Monday","4:30pm","5:15pm","Monitor",-35.2401725,149.0720313,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","7-Eleven Braddon","20 Mort Street","Braddon","13/09/2021 - Monday","12:10pm","12:50pm","Monitor",-35.275691,149.1317158,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Abode Woden","10 Bowes Street","Phillip","13/09/2021 - Monday","12:00am","11:59pm","Monitor",-35.3433861,149.0859964,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Woolworths Dickson","1 Dickson Place","Dickson","13/09/2021 - Monday","4:30pm","5:20pm","Casual",-35.249974,149.1386251,"",FALSE
"New","Coles Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","13/09/2021 - Monday","2:10pm","2:50pm","Monitor",-35.2802271,149.1333059,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Renaissance Manuka Worksite","Light Street","Griffith","13/09/2021 - Monday","7:00am","3:30pm","Monitor",-35.3215198,149.1361285,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","EG Fuel Conder","Tharwa Drive","Conder","13/09/2021 - Monday","3:10pm","3:45pm","Monitor",-35.4582538,149.0917291,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","IGA Banks","Pockett Avenue and Brockway Street","Banks","13/09/2021 - Monday","3:15pm","3:55pm","Monitor",-35.4725,149.0956056,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Bus Route 4 Transport Canberra Code BUS446","Woden Interchange to City Interchange","Public Transport","12/09/2021 - Sunday","12:28am","12:42am","Casual",-35.3444429,149.0872692,"",FALSE
"","Coles Express Gungahlin","1 Ginn Street","Gungahlin","12/09/2021 - Sunday","6:10pm","6:50pm","Monitor",-35.1834139,149.1267488,"",FALSE
"","Coles Kaleen","1 Maribyrnong Avenue","Kaleen","12/09/2021 - Sunday","5:30pm","6:15pm","Casual",-35.2202787,149.1028228,"",FALSE
"","Woolworths Erindale","50-68 Comrie Street","Wanniassa","12/09/2021 - Sunday","9:05am","10:10am","Casual",-35.4035739,149.098702,"",FALSE
"","Coles Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","12/09/2021 - Sunday","8:40pm","9:00pm","Casual",-35.2802271,149.1333059,"",FALSE
"","Coles Express Belconnen","Lathlain Street and Wignall Place","Belconnen","12/09/2021 - Sunday","5:20pm","6:10pm","Monitor",-35.242649,149.064011,"",FALSE
"","Woolworths Charnwood","25-30 Charnwood Place","Charnwood","12/09/2021 - Sunday","12:30pm","1:20pm","Casual",-35.2045295,149.0329328,"",FALSE
"","Bus Route 28 Transport Canberra Code BUS569","Gungahlin to Casey Market Town","Public Transport","12/09/2021 - Sunday","4:12pm","4:33pm","Casual",-35.17447,149.0959699,"",FALSE
"","Bus Route 31 Transport Canberra Code BUS569","Belconnen (Cohen St) to City Interchange","Public Transport","12/09/2021 - Sunday","8:11pm","8:51pm","Casual",-35.2396469,149.0648732,"",FALSE
"","Bus Route 32 Transport Canberra Code BUS569","City Interchange to Belconnen (Cohen St)","Public Transport","12/09/2021 - Sunday","5:12pm","5:51pm","Casual",-35.2784467,149.1305294,"",FALSE
"","Bus Route 53 Transport Canberra Code BUS569","Dickson Shops to City Interchange","Public Transport","12/09/2021 - Sunday","9:18pm","9:46pm","Casual",-35.2784467,149.1304794,"",FALSE
"","Bus Route 8 Transport Canberra Code BUS569","Belconnen (Cohen St) to Gungahlin Interchange","Public Transport","12/09/2021 - Sunday","3:27pm","3:53pm","Casual",-35.2396469,149.0650232,"",FALSE
"","Bus Route 9 Transport Canberra Code BUS569","Belconnen (Cohen St) to Watson","Public Transport","12/09/2021 - Sunday","6:03pm","6:37pm","Casual",-35.2396469,149.0649732,"",FALSE
"","Bus Route 9 Transport Canberra Code BUS569","Watson to Belconnen (Cohen St)","Public Transport","12/09/2021 - Sunday","6:45pm","7:19pm","Casual",-35.2396469,149.0649232,"",FALSE
"","Liquorland Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","12/09/2021 - Sunday","8:40pm","9:30pm","Casual",-35.2802271,149.1332809,"",FALSE
"","Woolworths Charnwood","25-30 Charnwood Place","Charnwood","12/09/2021 - Sunday","1:25pm","2:10pm","Monitor",-35.2045295,149.0328578,"",FALSE
"","Woolworths Dunlop","80 Lance Hill Avenue","Dunlop","12/09/2021 - Sunday","1:50pm","2:30pm","Monitor",-35.194468,149.0194685,"",FALSE
"","Bus Route 2 Transport Canberra Code BUS656","Westfield Belconnen Interchange to City Interchange","Public Transport","12/09/2021 - Sunday","7:27am","7:42am","Casual",-35.2784467,149.1304544,"",FALSE
"","Light Rail  Route 1 Transport Canberra Code LRV004","Alinga Street to Phillip Avenue","Public Transport","12/09/2021 - Sunday","5:30pm","5:39pm","Casual",-35.2782991,149.1285104,"",FALSE
"","Light Rail  Route 1 Transport Canberra Code LRV003","Phillip Avenue to Elouera Street","Public Transport","12/09/2021 - Sunday","6:44pm","6:52pm","Casual",-35.2473185,149.1540083,"",FALSE
"","Chemist Warehouse Gungahlin","30 Hibberson Street","Gungahlin","12/09/2021 - Sunday","1:50pm","2:30pm","Monitor",-35.1856574,149.1328237,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Woolworths Gungahlin","30/33 Hibberson Street","Gungahlin","12/09/2021 - Sunday","2:00pm","2:30pm","Monitor",-35.1846274,149.1339641,"",FALSE
"","BWS Mawson","Mawson Place","Mawson","12/09/2021 - Sunday","2:10pm","2:50pm","Monitor",-35.3661405,149.0944118,"",FALSE
"","Woolworths Mawson","15 Mawson Place","Mawson","12/09/2021 - Sunday","1:40pm","2:40pm","Casual",-35.3661449,149.0947446,"",FALSE
"","Priceline Pharmacy Amaroo","6 Pioneer Street","Amaroo","12/09/2021 - Sunday","11:15am","12:00pm","Monitor",-35.164779,149.1324158,"",FALSE
"","Capital Chemist Charnwood","Charnwood Shopping Centre, Lhotsky Street","Charnwood","12/09/2021 - Sunday","1:30pm","2:15pm","Monitor",-35.2045044,149.033648,"",FALSE
"","Tuggeranong Discount Drug Store","17 Anketell Street","Greenway","12/09/2021 - Sunday","3:15pm","3:55pm","Monitor",-35.4168087,149.0679445,"",FALSE
"","Coles Manuka","Franklin Street and Flinders Way","Griffith","12/09/2021 - Sunday","2:20pm","3:10pm","Monitor",-35.3210247,149.1342946,"",FALSE
"","Narrabundah Friendly Grocer","6 Iluka Street","Narrabundah","12/09/2021 - Sunday","6:00pm","6:45pm","Casual",-35.3325783,149.1540484,"",FALSE
"","Narrabundah Friendly Grocer","6 Iluka Street","Narrabundah","12/09/2021 - Sunday","7:45pm","8:30pm","Casual",-35.3325783,149.1539984,"",FALSE
"","SupaExpress Kaleen","8 Gwydir Square, Maribyrnong Avenue","Kaleen","12/09/2021 - Sunday","1:30pm","2:30pm","Casual",-35.2337993,149.1029054,"",FALSE
"","Woolworths Gungahlin","30/33 Hibberson Street","Gungahlin","12/09/2021 - Sunday","3:35pm","4:15pm","Monitor",-35.1846274,149.1339391,"",FALSE
"","Ms Ba Co Majura Park","Majura Park Shopping Centre, 18/16 Spitfire Avenue","Canberra Airport","12/09/2021 - Sunday","3:40pm","4:20pm","Monitor",-35.3001906,149.1904008,"",FALSE
"","Costco Canberra","39-41 Mustang Avenue","Canberra Airport","12/09/2021 - Sunday","1:45pm","3:15pm","Casual",-35.2972375,149.1905839,"",FALSE
"","Woolworths Majura Park","Majura Park Shopping Centre, 18/16 Spitfire Avenue","Canberra Airport","12/09/2021 - Sunday","2:45pm","3:50pm","Casual",-35.3001906,149.1903508,"",FALSE
"","Jim Murphy's Airport Cellars","7 Mustang Avenue","Canberra Airport","12/09/2021 - Sunday","3:15pm","4:15pm","Casual",-35.295124,149.191092,"",FALSE
"","IGA X-press East Row","22-58 East Row","Canberra City","12/09/2021 - Sunday","7:00pm","8:00pm","Monitor",-35.2791945,149.1306437,"",FALSE
"New","Woolworths Metro Cameron Avenue","1/6 Grazier Lane","Belconnen","12/09/2021 - Sunday","8:40pm","9:20pm","Monitor",-35.2401725,149.0719813,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Abode Woden","10 Bowes Street","Phillip","12/09/2021 - Sunday","12:00am","11:59pm","Monitor",-35.3433861,149.0859464,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Bus Route 4 Transport Canberra Code BUS671","City Interchange to Woden Interchange","Public Transport","11/09/2021 - Saturday","10:27am","10:41am","Casual",-35.2784467,149.1303294,"",FALSE
"","Coles Express Manuka","Canberra Avenue and Flinders Way","Griffith","11/09/2021 - Saturday","6:52am","7:00am","Monitor",-35.3200444,149.1343035,"",FALSE
"","Coles Manuka","Franklin Street and Flinders Way","Griffith","11/09/2021 - Saturday","9:25am","10:05am","Monitor",-35.3210247,149.1342446,"",FALSE
"","Woolworths Dickson","1 Dickson Place","Dickson","11/09/2021 - Saturday","11:50am","12:40pm","Monitor",-35.249974,149.1386501,"",FALSE
"","Coffee Guru Casey","Casey Market, 15 Kingsland Parade","Casey","11/09/2021 - Saturday","2:05pm","2:45pm","Monitor",-35.1745939,149.0953225,"",FALSE
"","Casey Market Town","15 Kingsland Parade","Casey","11/09/2021 - Saturday","2:00pm","2:50pm","Monitor",-35.17447,149.0959699,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
